date,consumption_kwh,consumption_kw,week_number,year,year_week,month-year
2019-01-06,823.54,3294.16,1,2019,01.19,
2019-01-13,1004.66,4018.64,2,2019,02.19,
2019-01-20,940.55,3762.2,3,2019,03.19,
2019-01-27,980.61,3922.44,4,2019,04.19,
2019-02-03,995.82,3983.28,5,2019,05.19,
2019-02-10,877.95,3511.8,6,2019,06.19,
2019-02-17,831.52,3326.08,7,2019,07.19,
2019-02-24,700.63,2802.52,8,2019,08.19,
2019-03-03,686.68,2746.72,9,2019,09.19,
2019-03-10,711.76,2847.04,10,2019,10.19,
2019-03-17,767.73,3070.92,11,2019,11.19,
2019-03-24,722.11,2888.44,12,2019,12.19,
2019-03-31,600.06,2400.24,13,2019,13.19,03'.19
2019-04-07,920.95,3683.8,14,2019,14.19,
2019-04-14,1246.22,4984.88,15,2019,15.19,
2019-04-21,870.13,3480.52,16,2019,16.19,
2019-04-28,997.15,3988.6,17,2019,17.19,
2019-05-05,995.08,3980.32,18,2019,18.19,
2019-05-12,817.71,3270.84,19,2019,19.19,
2019-05-19,725.26,2901.04,20,2019,20.19,
2019-05-26,939.26,3757.04,21,2019,21.19,
2019-06-02,1096.07,4384.28,22,2019,22.19,
2019-06-09,1027.06,4108.24,23,2019,23.19,
2019-06-16,940.29,3761.16,24,2019,24.19,
2019-06-23,1012.5,4050.0,25,2019,25.19,
2019-06-30,1016.15,4064.6,26,2019,26.19,06'.19
2019-07-07,1031.51,4126.04,27,2019,27.19,
2019-07-14,1009.64,4038.56,28,2019,28.19,
2019-07-21,984.52,3938.08,29,2019,29.19,
2019-07-28,979.8,3919.2,30,2019,30.19,
2019-08-04,975.17,3900.68,31,2019,31.19,
2019-08-11,986.85,3947.4,32,2019,32.19,
2019-08-18,972.11,3888.44,33,2019,33.19,
2019-08-25,1133.56,4534.24,34,2019,34.19,
2019-09-01,1002.03,4008.12,35,2019,35.19,
2019-09-08,1184.61,4738.44,36,2019,36.19,
2019-09-15,1136.67,4546.68,37,2019,37.19,
2019-09-22,1033.9,4135.6,38,2019,38.19,
2019-09-29,1084.47,4337.88,39,2019,39.19,
2019-10-06,1084.87,4339.48,40,2019,40.19,
2019-10-13,679.89,2719.56,41,2019,41.19,
2019-10-20,547.08,2188.32,42,2019,42.19,
2019-10-27,587.64,2350.56,43,2019,43.19,
2019-11-03,673.5,2694.0,44,2019,44.19,
2019-11-10,910.86,3643.44,45,2019,45.19,
2019-11-17,1407.9,5631.6,46,2019,46.19,
2019-11-24,1250.5,5002.0,47,2019,47.19,
2019-12-01,1637.36,6549.44,48,2019,48.19,
2019-12-08,1736.43,6945.72,49,2019,49.19,
2019-12-15,1865.28,7461.12,50,2019,50.19,
2019-12-22,817.86,3271.44,51,2019,51.19,
2019-12-29,588.43,2353.72,52,2019,52.19,
2020-01-05,189.01,756.04,1,2020,01.20,
